simple_name,common_name_c,alternative_name_c,class
Accipitriformes,鷹形目,,Aves
Anseriformes,雁形目,,Aves
Apodiformes,雨燕目,,Aves
Bucerotiformes,犀鳥目,,Aves
Caprimulgiformes,夜鷹目,,Aves
Charadriiformes,鴴形目,,Aves
Ciconiiformes,鸛形目,,Aves
Columbiformes,鴿形目,,Aves
Coraciiformes,佛法僧目,,Aves
Cuculiformes,鵑形目,,Aves
Falconiformes,隼形目,,Aves
Galliformes,雞形目,,Aves
Gaviiformes,潛鳥目,,Aves
Gruiformes,鶴形目,,Aves
Passeriformes,雀形目,,Aves
Pelecaniformes,鵜形目,,Aves
Phaethontiformes,鸏形目,,Aves
Phoenicopteriformes,紅鸛目,,Aves
Piciformes,鴷形目,,Aves
Podicipediformes,鷉形目,,Aves
Procellariiformes,鸌形目,,Aves
Psittaciformes,鸚形目,,Aves
Strigiformes,鴞形目,,Aves
Struthioniformes,鴕形目,,Aves
Suliformes,鰹鳥目,,Aves
Anhingidae,蛇鵜科,,Aves
Bucerotidae,犀鳥科,,Aves
Irenidae,和平鳥科,,Aves
Psittaculidae,老套鸚鵡科,,Aves
Struthionidae,鴕鳥科,,Aves
Caprimulgidae,夜鷹科,,Aves
Nectariniidae,吸蜜鳥科,,Aves
Oriolidae,黃鸝科,,Aves
Pandionidae,鶚科,,Aves
Paridae,山雀科,,Aves
Passeridae,麻雀科,,Aves
Pelecanidae,鵜鶘科,,Aves
Pellorneidae,雀眉科,,Aves
Phaethontidae,熱帶鳥科,,Aves
Phalacrocoracidae,鸕鷀科,,Aves
Phasianidae,雉科,,Aves
Phoenicopteridae,紅鸛科,,Aves
Phylloscopidae,柳鶯科,,Aves
Picidae,啄木鳥科,,Aves
Pittidae,八色鳥科,八色鶇科,Aves
Ploceidae,織布文鳥科,,Aves
Pnoepygidae,鷦眉科,,Aves
Podicipedidae,鸊鷉科,,Aves
Procellariidae,鸌科,,Aves
Prunellidae,岩鷚科,,Aves
Psittacidae,鸚鵡科,,Aves
Pycnonotidae,鵯科,,Aves
Rallidae,秧雞科,,Aves
Recurvirostridae,長腳鷸科,,Aves
Regulidae,戴菊科,,Aves
Remizidae,攀雀科,,Aves
Rostratulidae,彩鷸科,,Aves
Scolopacidae,鷸科,,Aves
Scotocercidae,樹鶯科,,Aves
Sittidae,鳾科,,Aves
Stenostiridae,細嘴鶲科,,Aves
Stercorariidae,賊鷗科,,Aves
Strigidae,鴟鴞科,,Aves
Sturnidae,八哥科,椋鳥科,Aves
Sulidae,鰹鳥科,,Aves
Sylviidae,鶯科,,Aves
Thraupidae,唐納雀科,,Aves
Threskiornithidae,䴉科,,Aves
Timaliidae,畫眉科,,Aves
Troglodytidae,鷦鷯科,,Aves
Turdidae,鶇科,,Aves
Turnicidae,三趾鶉科,,Aves
Tytonidae,草鴞科,,Aves
Upupidae,戴勝科,,Aves
