simple_name,common_name_c,alternative_name_c,class
Crocodylomorpha,,,Reptilia
Testudinata,,,Reptilia
Crocodylia,鱷目,,Reptilia
Testudines,龜鱉目,,Reptilia
Squamata,有鱗目,,Reptilia
Pareatidae,鈍頭蛇科,,Reptilia
Polychrotidae,變色蜥科,,Reptilia
Pythonidae,蟒科,,Reptilia
Scincidae,石龍子科,,Reptilia
Testudinidae,陸龜科,,Reptilia
Trionychidae,鱉科,,Reptilia
Typhlopidae,盲蛇科,,Reptilia
Varanidae,巨蜥科,,Reptilia
Viperidae,蝮蛇科,,Reptilia
Xenodermatidae,閃皮蛇科,,Reptilia
Acrochordidae,瘰鱗蛇科,,Reptilia
Agamidae,飛蜥科,,Reptilia
Anguidae,蛇蜥科,,Reptilia
Boidae,蚺科,,Reptilia
Chamaeleonidae,變色龍科,,Reptilia
Cheloniidae,蠵龜科,,Reptilia
Colubridae,黃頷蛇科,,Reptilia
Crocodylidae,鱷科,,Reptilia
Dermochelyidae,革龜科,,Reptilia
Elapidae,蝙蝠蛇科,,Reptilia
Emydidae,澤龜科,,Reptilia
Gekkonidae,壁虎科,,Reptilia
Geoemydidae,地龜科,,Reptilia
Homalopsidae,水蛇科,,Reptilia
Iguanidae,鬣蜥科,,Reptilia
Lacertidae,正蜥科,,Reptilia
Achalinus,,,Reptilia
Acrochordus,瘰鱗蛇屬,,Reptilia
Amphiesma,腹鏈蛇屬,,Reptilia
Anolis,安樂蜥屬,,Reptilia
Argyrophis,,,Reptilia
Ateuchosaurus,光蜥屬,,Reptilia
Boa,蚺屬,,Reptilia
Boiga,林蛇屬,,Reptilia
Bungarus,環蛇屬,,Reptilia
Caiman,凱門鱷屬,,Reptilia
Calamaria,兩頭蛇屬,,Reptilia
Caretta,蠵龜屬,,Reptilia
Chamaeleo,變色龍屬,,Reptilia
Chelonia,海龜屬,,Reptilia
Clemmys,水龜屬,,Reptilia
Cuora,,,Reptilia
Cyclophiops,翠青蛇屬,,Reptilia
Daboia,,,Reptilia
Myrrophis,,,Reptilia
Naja,眼鏡蛇屬,,Reptilia
Oligodon,小頭蛇屬,,Reptilia
Oreocryptophis,,,Reptilia
Orthriophis,黑眉錦蛇屬,,Reptilia
Ovophis,烙鐵頭蛇屬,,Reptilia
Pareas,鈍頭蛇屬,,Reptilia
Pelodiscus,鱉屬,,Reptilia
Physignathus,長鬣蜥屬,,Reptilia
Plagiopholis,頸斑蛇屬,,Reptilia
Plestiodon,石龍子屬,,Reptilia
Pogona,鬃獅蜥屬,,Reptilia
