simple_name,common_name_c,alternative_name_c,class
Anura,無尾目,,Amphibia
Caudata,有尾目,,Amphibia
Rhacophoridae,樹蛙科,,Amphibia
Bufonidae,蟾蜍科,,Amphibia
Microhylidae,狹口蛙科,,Amphibia
Ranidae,赤蛙科,,Amphibia
Eleutherodactylidae,離趾蟾科,卵齒蟾科,Amphibia
Dicroglossidae,叉舌蛙科,,Amphibia
Hylidae,樹蟾科,,Amphibia
Hynobiidae,山椒魚科,,Amphibia
Buergeria,溪樹蛙屬,,Amphibia
Zhangixalus,張樹蛙屬,,Amphibia
Nidirana,琴蛙屬,,Amphibia
Hylarana,水蛙屬,,Amphibia
Sylvirana,,,Amphibia
Bufo,蟾蜍屬,,Amphibia
Odorrana,臭蛙屬,,Amphibia
Pelophylax,側褶蛙屬,,Amphibia
Polypedates,泛樹蛙屬,,Amphibia
Pseudoamolops,赤蛙屬,,Amphibia
Rana,蛙屬,,Amphibia
Duttaphrynus,頭棱蟾屬,,Amphibia
Fejervarya,陸蛙屬,,Amphibia
Hoplobatrachus,虎紋蛙屬,,Amphibia
Hyla,雨蛙屬,,Amphibia
Hynobius,小鯢屬,,Amphibia
Kaloula,狹口蛙屬,,Amphibia
Kurixalus,原指樹蛙屬,,Amphibia
Limnonectes,大頭蛙屬,,Amphibia
Microhyla,姬蛙屬,,Amphibia
Micryletta,小姬蛙屬,,Amphibia
Eleutherodactylus,離趾蟾屬,卵齒蟾屬,Amphibia
Kurixalus idiootocus,面天樹蛙,,Amphibia
Aquarana catesbeiana,美洲牛蛙,"美國牛蛙,牛蛙",Amphibia
Microhyla fissipes,小雨蛙,"飾紋姬蛙,小姬蛙",Amphibia
Micryletta steinegeri,史丹吉氏小雨蛙,"臺灣娟蛙,史氏姬蛙,台灣娟蛙",Amphibia
Zhangixalus arvalis,諸羅樹蛙,"雨蛙,雨怪",Amphibia
Zhangixalus aurantiventris,橙腹樹蛙,,Amphibia
Zhangixalus moltrechti,莫氏樹蛙,,Amphibia
Zhangixalus prasinatus,翡翠樹蛙,,Amphibia
Zhangixalus taipeianus,臺北樹蛙,台北樹蛙,Amphibia
Duttaphrynus melanostictus,黑眶蟾蜍,癩蝦蟆,Amphibia
Fejervarya cancrivora,海蛙,"海陸蛙,食蟹蛙,紅樹林蛙",Amphibia
Fejervarya limnocharis,澤蛙,田蛙,Amphibia
Hoplobatrachus rugulosus,虎皮蛙,虎紋蛙,Amphibia
Hylarana latouchii,拉都希氏赤蛙,闊褶蛙,Amphibia
Hylarana taipehensis,臺北赤蛙,"台北赤蛙,神蛙,雷公蛙",Amphibia
Buergeria choui,周氏樹蛙,日本樹蛙,Amphibia
Buergeria robusta,褐樹蛙,壯溪樹蛙,Amphibia
Kurixalus eiffingeri,艾氏樹蛙,,Amphibia
Nidirana adenopleura,腹斑蛙,彈琴蛙,Amphibia
Nidirana okinavana,豎琴蛙,,Amphibia
Limnonectes fujianensis,福建大頭蛙,古氏赤蛙,Amphibia
Odorrana swinhoana,斯文豪氏赤蛙,"尖鼻赤蛙,棕背蛙",Amphibia
Pelophylax fukienensis,金線蛙,"福建金線蛙,福建側褶蛙",Amphibia
Rana sauteri,梭德氏赤蛙,,Amphibia
Polypedates braueri,布氏樹蛙,"白頷樹蛙,斑腿樹蛙",Amphibia
Sylvirana guentheri,貢德氏赤蛙,"沼蛙,石蛙",Amphibia
Polypedates megacephalus,斑腿樹蛙,,Amphibia
Rana longicrus,長腳赤蛙,,Amphibia
Bufo bankorensis,盤古蟾蜍,"臺灣蟾蜍,台灣蟾蜍,癩蝦蟆",Amphibia
Hyla chinensis,中國樹蟾,"中國雨蛙,雨怪",Amphibia
Microhyla butleri,巴氏小雨蛙,粗皮姬蛙,Amphibia
Microhyla heymonsi,黑蒙西氏小雨蛙,小弧斑姬蛙,Amphibia
Kurixalus berylliniris,碧眼樹蛙,,Amphibia
Kurixalus wangi,王氏樹蛙,,Amphibia
Kaloula pulchra,亞洲錦蛙,花狹口蛙,Amphibia
Eleutherodactylus planirostris,溫室蟾,"平吻卵齒蟾,古巴平吻蟾,溫室卵齒蟾",Amphibia
Hynobius arisanensis,阿里山山椒魚,阿里山小鯢,Amphibia
Hynobius formosanus,臺灣山椒魚,"台灣山椒魚,臺灣小鯢,台灣小鯢",Amphibia
Hynobius fucus,觀霧山椒魚,黑山椒魚,Amphibia
Hynobius glacialis,南湖山椒魚,冰河山椒魚,Amphibia
Hynobius sonani,楚南氏山椒魚,楚南氏小鯢,Amphibia
Rhinella,蜍屬,,Amphibia
Rana catesbiana,牛蛙,,Amphibia
Rana kuhlii,古氏赤蛙,,Amphibia
Rhinella marina,海蟾蜍,蔗蟾,Amphibia
Aquarana,,,Amphibia
Hynobius fuca,觀霧山椒魚,,Amphibia
