ScientificName,ChineseName1,ChineseName2,ChineseName3
Eptatretus burgeri,布氏黏盲鰻,蒲氏黏盲鰻,青眠鰻、無目鰻、鰻背、龍筋
Eptatretus cheni,陳氏黏盲鰻,,青眠鰻、無目鰻、鰻背、龍筋
Eptatretus chinensis,中華黏盲鰻,中國黏盲鰻,青眠鰻、無目鰻、鰻背、龍筋
Eptatretus nelsoni,紐氏黏盲鰻,納爾遜黏盲鰻,青眠鰻、無目鰻、鰻背、龍筋
Eptatretus okinoseanus,紫黏盲鰻,,青眠鰻、無目鰻、鰻背、龍筋
Eptatretus sheni,沈氏黏盲鰻,,青眠鰻、無目鰻、鰻背、龍筋
Eptatretus taiwanae,臺灣黏盲鰻,,青眠鰻、無目鰻、鰻背、龍筋
Eptatretus yangi,楊氏黏盲鰻,,青眠鰻、無目鰻、鰻背、龍筋
Myxine formosana,臺灣盲鰻,,青眠鰻、無目鰻、鰻背、龍筋
Myxine kuoi,郭氏盲鰻,,青眠鰻、無目鰻、鰻背、龍筋
Paramyxine fernholmi,費氏副盲鰻,,青眠鰻、無目鰻、鰻背、龍筋
Paramyxine wisneri,懷氏副盲鰻,,青眠鰻、無目鰻、鰻背、龍筋
Rubicundus rubicundus,紅尾盲鰻,,青眠鰻、無目鰻、鰻背、龍筋
Rhinochimaera africana,非洲長吻銀鮫,,黑翅沙、鼠魚、兔魚、鬼鯊、幽靈鯊
Rhinochimaera pacifica,太平洋長吻銀鮫,,黑翅沙、鼠魚、兔魚、鬼鯊、幽靈鯊
Chimaera jordani,喬丹氏銀鮫,喬氏銀鮫,黑翅沙、鼠魚、兔魚、鬼鯊、幽靈鯊
Chimaera phantasma,黑線銀鮫,,黑翅沙、鼠魚、銀鮫、兔魚、鬼鯊、幽靈鯊、沙鰷(臺東)
Hydrolagus mitsukurii,箕作氏兔銀鮫,箕作氏兔銀鮫(冬兔銀鮫),黑翅沙、鼠魚、兔魚、鬼鯊、幽靈鯊
Heterodontus japonicus,日本異齒鯊,寬紋虎鯊,日本異齒鮫、角鯊、虎沙
Heterodontus zebra,斑紋異齒鯊,狹紋虎鯊,斑紋異齒鮫、角鯊、虎沙、虎皮鯊(澎湖)
Cirrhoscyllium formosanum,臺灣喉鬚鯊,臺灣橙黃鯊,沙條
Orectolobus japonicus,日本鬚鯊,,虎沙、破布鯊(澎湖)、狗檨仔(澎湖)、貓公檨(澎湖)
Orectolobus leptolineatus,細線鬚鯊,,細線鬚鮫、豆腐鯊、虎沙、破皮沙（澎湖）
Chiloscyllium plagiosum,條紋狗鯊,條紋斑竹鯊,狗沙、沙條、斑竹狗鮫、紅狗鯊(澎湖)
Chiloscyllium punctatum,點紋狗鯊,點紋斑竹鯊,狗沙、沙條、狗鮫、狗鯊(澎湖)、白狗鯊(澎湖)
Stegostoma fasciatum,大尾虎鯊,豹紋鯊,長尾虎沙、沙條(臺東)、虎鯊(澎湖)、厚皮鯊(澎湖)、俺奧仔(澎湖)
Nebrius ferrugineus,鏽鬚鯊,長尾光鱗鯊,翅沙、褐色護士鯊
Rhincodon typus,鯨鯊,,豆腐沙、大憨沙、鯨鮫
Carcharias taurus,錐齒鯊,,大沙、戟齒砂鮫
Odontaspis ferox,凶猛砂錐齒鯊,,大沙
Mitsukurina owstoni,歐氏尖吻鯊,,大沙、劍吻鯊、歐氏尖吻鮫
Pseudocarcharias kamoharai,蒲原氏擬錐齒鯊,,黑棘鮫、鱷鮫、沙魚(臺東)
Megachasma pelagios,巨口鯊,大口鯊,大沙、大口鯊、巨口鮫
Alopias pelagicus,淺海狐鯊,淺海長尾鯊,長尾沙、淺海狐鮫、沙娘仔、小目午仔
Alopias superciliosus,深海狐鯊,大眼長尾鯊,長尾沙、三娘鯊、深海狐鮫、沙娘仔、大眼長尾鯊、大目午仔
Alopias vulpinus,狐鯊,弧形長尾鯊,長尾沙、狐鮫、沙娘仔
Cetorhinus maximus,象鯊,姥鯊,象沙、象鮫
Carcharodon carcharias,食人鯊,噬人鯊,大白鯊、食人鮫、馬加舅
Isurus oxyrinchus,尖吻鯖鯊,,馬加鯊、煙仔沙、灰鯖鮫、馬加(臺東)、尖吻鯖鯊、煙仔鯊
Isurus paucus,長臂鯖鯊,,馬加鯊、煙仔沙、長臂灰鯖鮫
Lamna ditropis,太平洋鼠鯊,,鮭鯊
Apristurus gibbosus,駝背篦鯊,駝背光尾鯊,沙魚、黑鯊
Apristurus herklotsi,霍氏篦鯊,霍氏光尾鯊,沙魚、黑鯊
Apristurus longicephalus,長頭篦鯊,長頭光尾鯊,沙魚、長頭篦鮫
Apristurus macrostomus,大口篦鯊,大口光尾鯊,沙魚、廣吻篦鮫
Apristurus platyrhynchus,扁吻篦鯊,扁吻光尾鯊,沙魚、扁吻篦鮫
Atelomycterus marmoratus,斑貓鯊,白斑斑鯊,沙條、斑貓鮫、沙鰷(臺東)
Cephaloscyllium fasciatum,條紋頭鯊,網紋絨毛鯊,沙條、網紋頭鮫
Cephaloscyllium formosanum,臺灣頭鯊,臺灣絨毛鯊,沙條
Cephaloscyllium sarawakensis,沙勞越頭鯊,沙勞越絨毛鯊,沙條
Cephaloscyllium umbratile,汙斑頭鯊,陰影絨毛鯊,沙條、污斑頭鮫、沙鰷(臺東)
Galeus eastmani,依氏蜥鯊,伊氏鋸尾鯊,沙條、依氏蜥鮫
Galeus nipponensis,日本蜥鯊,日本鋸尾鯊,沙條
Galeus sauteri,梭氏蜥鯊,沙氏鋸尾鯊,水項仔、沙魚、沙條、梭氏蜥
Halaelurus buergeri,伯氏豹鯊,梅花鯊,沙條、豹鮫、紅狗鯊(澎湖)、軟狗鯊(澎湖)
Parmaturus melanobranchus,黑鰓盾尾鯊,,沙魚、黑鰓貓鮫
Parmaturus pilosus,盾尾鯊,,沙條
Scyliorhinus tokubee,白點貓鯊,,沙條
Eridacnis radcliffei,雷氏光唇鯊,斑鰭光唇鯊,沙條、花尾貓鮫
Proscyllium habereri,哈氏原鯊,,狗沙、原鮫、哈氏臺灣鯊、哈氏原鮫
Pseudotriakis microdon,小齒擬皺唇鯊,,黑沙、啞巴鮫、擬貓鮫
Hemitriakis complicofasciata,雜紋半皺唇鯊,,雜紋灰鮫
Hemitriakis japanica,日本半皺唇鯊,日本半皺唇鯊(日本翅鯊),日本翅沙、日本翅鯊、沙條、胎沙、日本灰鮫、白鯊仔(澎湖)、赤匏仔(澎湖)
Hypogaleus hyugaensis,下盔鯊,下盔鯊(黑鰭翅鯊),翅沙、黑緣灰鮫
Mustelus griseus,灰貂鯊,灰星鯊,沙條、平滑鮫、灰貂鮫、白鯊條(澎湖)、啟目布仔(澎湖)
Mustelus manazo,星貂鯊,白斑星鯊,花點母、沙條、平滑鮫
Triakis scyllium,皺唇鯊,,沙條、九道三峰齒鮫
Chaenogaleus macrostoma,大口尖齒鯊,,沙條
Hemigaleus microstoma,小口半沙條鯊,,沙條、小口沙條鮫
Hemipristis elongata,長半鋸鯊,鈍吻鯊(半鋸鯊),沙條、尖鰭副沙條鮫、鯊條(澎湖)、大鯊條(澎湖)
Paragaleus randalli,蘭道氏副沙條鯊,,沙條
Paragaleus tengi,鄧氏副沙條鯊,臺灣副沙條鯊,沙條、臺灣副沙條鯊、鄧氏沙條鮫
Carcharhinus albimarginatus,白邊鰭真鯊,白邊真鯊,大沙、白邊鰭白眼鮫、尖頭沙(臺東)
Carcharhinus altimus,大鼻真鯊,,大沙、大鼻白眼鮫、高翅真鯊
Carcharhinus amblyrhynchos,鈍吻真鯊,,黑印真鯊、大沙、黑印白眼鮫、黑尾真鯊、灰礁鯊
Carcharhinus brachyurus,短尾真鯊,,大沙、短尾白眼鮫、黑鯊
Carcharhinus brevipinna,直齒真鯊,,大沙、薔薇白眼鮫、短鰭真鯊
Carcharhinus falciformis,鐮狀真鯊,,大沙、平滑白眼鮫、鯊條(澎湖)、圓頭鯊(澎湖)、黑鯊
Carcharhinus leucas,低鰭真鯊,低鰭真鯊(公牛真鯊),大沙、公牛白眼鮫、公牛真鯊
Carcharhinus limbatus,黑邊鰭真鯊,黑稍真鯊,黑邊鰭白眼鮫、黑斑沙、黑鯊、鯊條(澎湖)、鯊仔(澎湖)
Carcharhinus longimanus,長鰭真鯊,,大沙、污斑白眼鮫、花鯊
Carcharhinus macloti,麥氏真鯊,,大沙、槍頭白眼鮫、黑鯊
Carcharhinus melanopterus,汙翅真鯊,烏翅真鯊,大沙、污翅白眼鮫
Carcharhinus obscurus,灰色真鯊,灰真鯊(暗體真鯊),大沙、灰色白眼鮫
Carcharhinus plumbeus,鉛灰真鯊,,大沙、高鰭白眼鮫、黑鯊
Carcharhinus sorrah,沙拉真鯊,,沙條、沙拉白眼鮫、沙魚(臺東)、黑斬(澎湖)、烏翅尾(澎湖)、尖頭(南方澳)
Carcharhinus tjutjot,爪哇真鯊,,沙條、爪哇白眼鮫、沙魚(臺東)、黑斬(澎湖)、烏翅尾(澎湖)、尖頭(南方澳)
Galeocerdo cuvier,鼬鯊,,虎沙、鼬鮫、爛沙(臺東)、鳥鯊(澎湖)
Loxodon macrorhinus,廣鼻彎齒鯊,彎齒鯊,沙條、尖頭沙、廣鼻曲齒鮫、廣鼻彎齒鮫、鯊條(澎湖)、赤匏仔(澎湖)
Negaprion acutidens,尖齒檸檬鯊,,檸檬鯊、犁鰭檸檬鮫
Prionace glauca,鋸峰齒鯊,大青鯊,水沙、大翅沙、鋸峰齒鮫、爛沙(臺東)、大青鯊、水鯊、大藍鮫
Rhizoprionodon acutus,尖頭曲齒鯊,尖吻斜鋸牙鯊,沙條、尖頭沙、尖頭曲齒鮫
Scoliodon laticaudus,寬尾斜齒鯊,,沙仔、尖頭沙、寬尾曲齒鮫、寬尾斜齒鮫
Triaenodon obesus,灰三齒鯊,,沙魚、鱟鮫
Sphyrna lewini,路易氏雙髻鯊,路氏雙髻鯊,路易氏丫髻鯊、紅肉雙髻鮫、犛頭沙、雙髻鯊、雙過仔、槌頭鯊
Sphyrna mokarran,無溝雙髻鯊,,無溝丫髻鯊、犛頭沙、雙髻鯊、雙過仔、八鰭丫髻鮫
Sphyrna zygaena,錘頭雙髻鯊,,錘頭丫髻鯊、犛頭沙、雙髻鯊、雙過仔、丫髻鮫、白肉雙髻(澎湖)
Chlamydoselachus anguineus,皺鰓鯊,,擬鰻鮫
Heptranchias perlo,尖頭七鰓鯊,尖吻七鰓鯊,尖頭七鰓鮫、油棘、七鰓沙
Hexanchus griseus,灰六鰓鯊,,灰六鰓鮫、六鰓沙
Hexanchus nakamurai,中村氏六鰓鯊,長吻六鰓鯊,大眼六鰓鮫、六鰓沙
Notorynchus cepedianus,油夷鯊,扁頭哈那鯊,油夷鮫、七鰓沙
Echinorhinus cookei,庫克笠鱗鯊,笠鱗棘鯊,刺沙、笠鱗鮫
Cirrhigaleus barbifer,長鬚卷盔鯊,,長鬚卷盔鮫、棘沙、刺鯊、沙魚、長鬚棘鮫
Squalus brevirostris,短吻角鯊,,短吻棘鮫、棘沙、刺鯊、沙魚
Squalus formosus,臺灣角鯊,,臺灣棘鮫、棘沙、刺鯊、沙魚
Squalus japonicus,日本角鯊,,日本棘鮫、棘沙、刺鯊、沙魚
Squalus montalbani,蒙式角鯊,,蒙式棘鮫、棘沙、刺鯊、沙魚
Squalus suckleyi,薩式角鯊,,薩式棘鮫、棘沙、刺鯊、沙魚
Centrophorus atromarginatus,黑緣刺鯊,,尖鰭鮫、棘沙、刺鯊、沙魚
Centrophorus granulosus,顆粒刺鯊,,尖鰭鮫、棘沙、刺鯊、沙魚
Centrophorus isodon,等齒刺鯊,,尖鰭鮫、棘沙、刺鯊、沙魚
Centrophorus lusitanicus,低鰭刺鯊,,低鰭尖鰭鮫、棘沙、刺鯊、沙魚、尖鰭鮫
Centrophorus moluccensis,皺皮刺鯊,,皺皮尖鰭鮫、棘沙、刺鯊、沙魚
Centrophorus squamosus,葉鱗刺鯊,,葉鱗尖鰭鮫、棘沙、刺鯊、沙魚
Deania calcea,喙吻田氏鯊,,篦吻田氏鯊、地風鬼、刺鯊、沙魚、篦吻棘鮫
Deania profundorum,深水田氏鯊,,四棘田氏鯊、地風鬼、刺鯊、沙魚、四棘棘鮫
Centroscyllium kamoharai,蒲原氏霞鯊,,蒲原氏刺狗鮫、狗鮫
Etmopterus brachyurus,短尾烏鯊,,短尾烏鮫、黑沙
Etmopterus burgessi,伯氏烏鯊,,柏氏燈籠棘鮫、黑沙
Etmopterus joungi,莊氏烏鯊,,莊氏燈籠棘鮫、莊氏烏鮫、黑沙
Etmopterus molleri,莫氏烏鯊,,模拉里燈籠棘鮫、黑沙、模拉里烏鯊
Etmopterus sheikoi,希氏烏鯊,,燈籠棘鮫、黑沙
Etmopterus splendidus,斯普蘭汀烏鯊,,斯普蘭汀燈籠棘鮫、斯普藍汀烏鯊、黑沙
Trigonognathus kabeyai,卡氏尖頜烏鯊,,燈籠棘鮫、黑沙
Scymnodon ichiharai,一原氏異鱗鯊,一原氏鱗睡鯊,異鱗鮫、睡鯊、狗鮫
Somniosus pacificus,太平洋睡鯊,,睡鯊
Zameus squamulosus,鱗睡鯊,,異鱗鮫、睡鯊、狗鮫
Dalatias licha,鎧鯊,,黑鮫、黑沙、沙魚(臺東)
Isistius brasiliensis,巴西達摩鯊,,雪茄鮫、沙魚
Squaliolus aliae,阿里擬角鯊,,阿里擬角鮫、沙魚
Squatina formosa,臺灣扁鯊,,臺灣琵琶鮫、扁沙
Squatina japonica,日本扁鯊,,日本琵琶鮫、扁沙
Squatina nebulosa,星雲扁鯊,,雲紋琵琶鯊、扁沙、藝旦鯊(澎湖)
Squatina tergocellatoides,擬背斑扁鯊,,擬背斑琵琶鮫、扁沙
Pristiophorus japonicus,日本鋸鯊,,日本鋸鮫、劍沙
Torpedo formosa,臺灣電鱝,臺灣電鰩,電魴、雷魚
Torpedo tokionis,東京電鱝,東京電鰩(圓電鰩),電魴、雷魚
Benthobatis yangi,楊氏深海電鱝,楊氏深海電鰩,電魴、雷魚
Narcine brevilabiata,短唇雙鰭電鱝,短唇雙鰭電鰩,電魴、雷魚
Narcine lingula,舌形雙鰭電鱝,舌形雙鰭電鰩,舌形木鏟電鱝、電魴、雷魚、沙帽仔(澎湖)、電[魚本](澎湖)
Narke japonica,日本單鰭電鱝,日本單鰭電鰩,日本電鱝、電魴、雷魚
